contenu,commentaire,tome,chapitre,scene,locuteur,characters,english,english_com
"— JE REFUSE DE PAYER UN SOU POUR QU'UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE ! s'écria l'oncle Vernon.<br>
Mais cette fois, il était allé trop loin. Hagrid empoigna son parapluie et le fit tournoyer au-dessus de sa tête.<br>
—JAMAIS PLUS ... INSULTER ... ALBUS ... DUMBLEDORE ... DEVANT ... MOI ...tonna-t-il.<br>
Il abattit le parapluie dans un sifflement et le pointa sur Dudley. Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu. Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur. Lorsqu'il leur tourna le dos, Harry vit qu'une petite queue de cochon en tire-bouchon lui avait poussé à travers son pantalon.",,1,4,0,"Vernon Dursley, Rubeus Hagrid","Vernon Dursley, Rubeus Hagrid, Albus Dumbledore, Dudley Dursley","""I AM NOT PAYING FOR SOME CRACKPOT OLD FOOL TO TEACH HIM
MAGIC TRICKS!""
yelled Uncle Vernon.<br>
But he had finally gone too far. Hagrid seized his umbrella and whirled
it over his head, ""NEVER,"" he thundered, ""- INSULT- ALBUS- DUMBLEDOREIN-
FRONT- OF- ME!""<br>
He brought the umbrella swishing down through the air to point at Dudley
-- there was a flash of violet light, a sound like a firecracker, a
sharp squeal, and the next second, Dudley was dancing on the spot with
his hands clasped over his fat bottom, howling in pain. When he turned
his back on them, Harry saw a curly pig's tail poking through a hole in
his trousers.",
"— Je n'aurais pas dû m'énerver comme ça, dit-il d'un ton de regret. Mais de toute façon, ça n'a pas marché. Je voulais le changer en cochon, mais il ressemble déjà tellement à un cochon qu'il n'y avait pas grand-chose de plus à faire.",Hagrid à Harry à propos de Dudley,1,4,0,Rubeus Hagrid,"Rubeus Hagrid, Dudley Dursley, Harry Potter","""Shouldn'ta lost me temper,"" he said ruefully, ""but it didn't work anyway. Meant ter turn him into a pig, but I suppose he was so much like a pig anyway there wasn't much left ter do.""",Hagrid to Harry about Dudley
"La rue dans laquelle ils marchaient paraissait aussi ordinaire que les passants qui les entouraient. Y avait-il vraiment des montagnes d'or magique enterrées à des kilomètres sous leurs pieds ? Y avait-il vraiment des boutiques qui vendaient des grimoires et des balais volants ? N'était-ce pas plutôt une farce énorme que lui avaient faite les Dursley ? Si Harry n'avait pas su que les Dursley ne possédaient pas le moindre sens de l'humour, il aurait pu le penser. Mais même si tout ce que lui avait raconté Hagrid jusqu'à maintenant était incroyable, Harry ne pouvait s'empêcher de lui faire confiance.",,1,5,0,Narrateur,"Rubeus Hagrid, Harry Potter, Vernon Dursley, Pétunia Dursley","This was just an ordinary street full of ordinary people. Could there really be piles of wizard gold buried miles
beneath them? Were there really shops that sold spell books and broomsticks? Might this not all be some huge joke that the Dursleys had cooked up? If Harry hadn't known that the Dursleys had no sense of humor, he might have thought so; yet somehow, even though everything Hagrid had told him so far was unbelievable, Harry couldn't help trusting him.",
"— Quelle matière enseignez vous, professeur ? demanda Harry.<br>
— La dé... défense contre les for... forces du Mal, marmonna le professeur Quirrell comme s'il eût préféré ne pas en parler. Mais vous... vous... vous n'en avez pas be ... besoin, P... P... Potter.<br>
Il eut un rire nerveux.<br>
— Vous... vous êtes venu chercher vos fournitures ? Je ... je dois moi-même a... acheter un nouveau li... livre sur les vampires.<br>
Cette perspective semblait le terrifier.",,1,5,0,"Quirinus Quirrell, Harry Potter","Quirinus Quirrell, Harry Potter","""What sort of magic do you teach, Professor Quirrell?""<br>
""D-Defense Against the D-D-Dark Arts,"" muttered Professor Quirrell, as
though he'd rather not think about it. ""N-not that you n-need it, eh,
P-P-Potter?"" He laughed nervously. ""You'll be g-getting all your
equipment, I suppose? I've g-got to p-pick up a new b-book on vampires,
m-myself."" He looked terrified at the very thought.",
"— J'oublie toujours la différence entre stalactite et stalagmite, cria Harry pour couvrir le bruit du wagonnet.<br>
— Dans stalactite, il y a un « ti », répondit Hagrid. Et ne me pose pas de questions maintenant, je commence à avoir mal au coeur.",,1,5,0,"Harry Potter, Rubeus Hagrid","Harry Potter, Rubeus Hagrid","I never know,"" Harry called to Hagrid over the noise of the cart, ""what's the difference between a stalagmite and a stalactite?""<br>""Stalagmite's got an 'm' in it,"" said Hagrid. ""An' don' ask me questions just now, I think I'm gonna be sick.""",
"— Celles en or sont des Gallions, lui expliqua-t-il. En argent, ce sont les Mornilles. Il y a dix-sept Mornilles d'argent dans un Gallion d'or et vingt-neuf Noises de bronze dans une Mornille. C'est facile à retenir.",Hagrid à Harry,1,5,0,Rubeus Hagrid,"Rubeus Hagrid, Harry Potter","""The gold ones are Galleons,"" he explained. ""Seventeen silver Sickles to a Galleon and twenty-nine Knuts to a Sickle, it's easy enough.",Hagrid to Harry
"— Si quiconque d'autre qu'un gobelin essayait d'ouvrir cette porte, il serait aspiré au travers et deviendrait prisonnier de la chambre forte.<br>
— Et vous vérifiez de temps en temps s'il n'y a pas quelqu'un à l'intérieur ? demanda Harry.<br>
— Tous les dix ans, environ, répondit Gripsec avec un sourire mauvais.",,1,5,0,"Harry Potter, Gripsec","Harry Potter, Gripsec","""If anyone but a Gringotts goblin tried that, they'd be sucked through the door and trapped in there,"" said Griphook.<br>""How often do you check to see if anyone's inside?"" Harry asked.<br>""About once every ten years,"" said Griphook with a rather nasty grin.",
"— Allez, on retourne dans le wagonnet infernal, soupira le géant. Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.",Hagrid à Harry dans les profondeurs de Gringotts,1,5,0,Rubeus Hagrid,"Rubeus Hagrid, Harry Potter","""Come on, back in this infernal cart, and don't talk to me on the way
back, it's best if I keep me mouth shut,"" said Hagrid.",Hagrid to Harry in the depths of Gringotts
"— Je ne vois pas pourquoi les élèves de première année n'auraient pas le droit d'avoir leur propre balai. J'arriverai bien à convaincre mon père de m'en acheter un et je m'arrangerai pour le faire passer en douce au collège. [Drago Malefoy]<br>
En l'écoutant parler, Harry ne pouvait s'empêcher de penser à Dudley.",,1,5,0,Drago Malefoy,"Drago Malefoy, Lucius Malefoy, Harry Potter, Dudley Dursley","""I don't see why first years can't have their own. I think I'll bully father into getting me one and I'll smuggle it in somehow."" [Drago Malefoy]<br>Harry was strongly reminded of Dudley.",
"— Tu t'imagines, se retrouver à Poufsouffle ? Je préférerais m'en aller tout de suite.",Drago Malefoy à Harry,1,5,0,Drago Malefoy,"Drago Malefoy, Harry Potter","""Imagine being in Hufflepuff, I think I'd leave, wouldn't you?""",Draco Malfoy to Harry
"Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l'intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l'aile. Harry en bégayait de reconnaissance. On aurait cru entendre le professeur Quirrell.",,1,5,0,Harry Potter,"Harry Potter, Rubeus Hagrid, Hedwige, Quirinus Quirrell","Twenty minutes later, they left Eeylops Owl Emporium, which had been dark and full of rustling and flickering, jewel-bright eyes. Harry now carried a large cage that held a beautiful snowy owl, fast asleep with her head under her wing. He couldn't stop stammering his thanks, sounding just like Professor Quirrell.",
"—J'en suis désolé, mais c'est moi qui ai vendu la baguette responsable de cette cicatrice, dit-il d'une voix douce, 33,75 centimètres. En bois d'if. Une baguette puissante, très puissante, et entre des mains maléfiques... Si j'avais su ce que cette baguette allait faire en sortant d'ici...",Ollivander à Harry à propos de Voldemort,1,5,0,Garrick Ollivander,"Garrick Ollivander, Harry Potter, Lord Voldemort","""I'm sorry to say I sold the wand that did it,"" he said softly. ""Thirteen-and-a-half inches. Yew. Powerful wand, very powerful, and in the wrong hands... well, if I'd known what that wand was going out into the world to do....""",Ollivander to Harry about Voldemort
"—Un client difficile, commenta Mr Ollivander d'un air satisfait. Mais nous finirons bien par trouver celle qui vous convient. Voyons celle-ci. Une combinaison originale: bois de houx et plume de phénix, 27,5 centimètres. Facile à manier, très souple.<br>
Harry prit la baguette et sentit aussitôt une étrange chaleur se répandre dans ses doigts, Il la leva au-dessus de sa tête, puis l'abaissa en la faisant siffler dans l'air. Une gerbe d'étincelles rouge et or jaillit alors de l'extrémité de la baguette, projetant sur les murs des lueurs mouvantes. Hagrid applaudit en poussant une exclamation enthousiaste.<br>
— Bravo ! s'écria Mr Ollivander. Très bien, vraiment très bien. Etrange... très étrange...",,1,5,0,Garrick Ollivander,"Garrick Ollivander, Harry Potter, Rubeus Hagrid","""Tricky customer, eh? Not to worry, we'll find the perfect match here somewhere -- I wonder, now - - yes, why not -- unusual combination -- holly and phoenix feather, eleven inches, nice and supple.""<br>Harry took the wand. He felt a sudden warmth in his fingers. He raised the wand above his head, brought it swishing down through the dusty air and a stream of red and gold sparks shot from the end like a firework, throwing dancing spots of light on to the walls. Hagrid whooped and clapped and Mr. Ollivander cried, ""Oh, bravo! Yes, indeed, oh, very good. Well, well, well... how curious... how very curious... """,
"— Je me souviens de chaque baguette que j'ai vendue, Mr Potter, répondit-il. [Ollivander] Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette. Il est très étrange que ce soit précisément cette baguette qui vous ait convenu, car sa soeur n'est autre que celle qui... qui vous a fait cette cicatrice au front.<br>
Harry avala sa salive avec difficulté.<br>
— L'autre faisait 33,75 centimètres. Elle était en bois d'if. Curieux, vraiment, la façon dont les choses se produisent. Souvenez-vous, c'est la baguette qui choisit son sorcier, pas le contraire... Je crois que vous avez un bel avenir, Mr Potter... Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !<br>
Harry frissonna. Il n'était pas sûr d'éprouver une grande sympathie pour Mr Ollivander.",,1,5,0,Garrick Ollivander,"Garrick Ollivander, Harry Potter, Lord Voldemort","""I remember every wand I've ever sold, Mr. Potter. Every single wand. It so happens that the phoenix whose tail feather is in your wand, gave another feather -- just one other. It is very curious indeed that you should be destined for this wand when its brother why, its brother gave you that scar.""<br>Harry swallowed.<br>""Yes, thirteen-and-a-half inches. Yew. Curious indeed how these things happen. The wand chooses the wizard, remember.... I think we must expect great things from you, Mr. Potter.... After all, He-Who-Must-Not-Be-Named did great things -- terrible, yes, but great.""<br>Harry shivered. He wasn't sure he liked Mr. Ollivander too much.",
"— Tout le monde pense que je suis quelqu'un d'exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse. Tous ces gens au Chaudron Baveur, le professeur Quirrell, Mr Ollivander... Mais moi, je sais bien que je ne connais rien à la magie. Comment peuvent-ils croire que j'ai un bel avenir ? Je suis célèbre, mais je ne me rappelle pas pourquoi. Je n'ai aucune idée de ce qui s'est produit quand Vol... pardon... je veux dire le soir où mes parents sont morts.<br>
— Ne t'inquiète pas, Harry, répondit Hagrid avec un sourire bienveillant, tu apprendras très vite. A Poudlard, tout le monde commence au même niveau. Tu t'en sortiras très bien. Reste toi-même, c'est tout. Je sais que c'est difficile. Tu as été choisi et c'est toujours difficile. Mais tu seras très content à Poudlard. Moi aussi, j'étais content... Et je le suis toujours...",,1,5,0,"Harry Potter, Rubeus Hagrid","Harry Potter, Rubeus Hagrid, Quirinus Quirrell, Garrick Ollivander, Lord Voldemort, James Potter, Lily Potter","""Everyone thinks I'm special,"" he said at last. ""All those people in the Leaky Cauldron, Professor Quirrell, Mr. Ollivander... but I don't know anything about magic at all. How can they expect great things? I'm famous and I can't even remember what I'm famous for. I don't know what happened when Vol-, sorry -- I mean, the night my parents died.""<br>Hagrid leaned across the table. Behind the wild beard and eyebrows he wore a very kind smile.<br>""Don' you worry, Harry. You'll learn fast enough. Everyone starts at the beginning at Hogwarts, you'll be just fine. just be yerself. I know it's hard. Yeh've been singled out, an' that's always hard. But yeh'll have a great time at Hogwarts -- I did -- still do, 'smatter of fact.""",
"— Fred, à toi maintenant, dit la mère.<br>
— Fred, c'est pas moi, moi, c'est George, dit le garçon. Franchement, tu crois que c'est digne d'une mère de confondre ses enfants ? Tu ne vois pas que je suis George ?<br>
— Désolée, mon chéri.<br>
— C'était pour rire, dit le garçon. En fait, Fred, c'est moi..",,1,6,0,"Molly Weasley, Fred Weasley","Molly Weasley, Fred Weasley, George Weasley","""Fred, you next,"" the plump woman said.<br>""I'm not Fred, I'm George,"" said the boy. <br>""Honestly, woman, you call
yourself our mother? Can't you tell I'm George?""<br>""Sorry, George, dear.""<br>""Only joking, I am Fred,"" said the boy, and off he went.",
"— Qu'est-ce que c'est que ça ? demanda soudain l'un des jumeaux en montrant la cicatrice en forme d'éclair.<br>
— Ça alors ! s'exclama l'autre frère, ce ne serait pas...<br>
— Si, c'est sûrement lui, dit le premier jumeau. C'est bien ça ? ajouta-t-il à l'adresse de Harry.<br>
— Quoi ? demanda celui-ci.<br>
— Harry Potter, dirent en chœur les deux frères.<br>
— Oui, oui, c'est lui, répondit Harry. Enfin, je veux dire... c'est moi.",,1,6,0,"Fred Weasley, George Weasley, Harry Potter","Fred Weasley, George Weasley, Harry Potter","""What's that?"" said one of the twins suddenly, pointing at Harry's
lightning scar.<br>
""Blimey,"" said the other twin. ""Are you""<br>
""He is,"" said the first twin. ""Aren't you?"" he added to Harry.<br>
""What?"" said Harry.<br>
""Harry Potter, ""chorused the twins.<br>
""Oh, him,"" said Harry. ""I mean, yes, I am.""",
"— Je ne peux pas rester très longtemps, Maman, dit-il. Je dois aller à l'avant du train, les préfets ont un compartiment réservé.<br>
— Tu es préfet, Percy ? dit l'un des jumeaux avec surprise. Tu aurais dû nous prévenir, on n'en savait rien.<br>
— Attends, je crois bien qu'il nous en a soufflé un mot, une fois, dit l'autre jumeau.<br>
— Peut-être même deux fois.<br>
— Maintenant que tu me le rappelles, je crois même qu'il nous en a parlé pendant une minute entière.<br>
— Et même pendant tout l'été, à bien y réfléchir...<br>
— Ça suffit, dit Percy le préfet.",,1,6,0,"Percy Weasley, Fred Weasley, George Weasley","Percy Weasley, Fred Weasley, George Weasley, Molly Weasley","""Can't stay long, Mother,"" he said. ""I'm up front, the prefects have got
two compartments to themselves --""<br>
""Oh, are you a prefect, Percy?"" said one of the twins, with an air of
great surprise. ""You should have said something, we had no idea.""<br>
""Hang on, I think I remember him saying something about it,"" said the
other twin. ""Once --""<br>
""Or twice --""<br>
""A minute --""<br>
""All summer --""<br>
""Oh, shut up,"" said Percy the Prefect.",
"— Vous deux, vous allez être sages, cette année ! lança-t-elle. Si jamais je reçois un hibou qui me dit que vous avez fait exploser les toilettes...<br>
— Faire exploser les toilettes ? On n'a jamais fait ça.<br>
— Mais c'est une bonne idée. Merci, M'man !",Molly et les jumeaux Weasley,1,6,0,"Molly Weasley, Fred Weasley, George Weasley","Molly Weasley, Fred Weasley, George Weasley","""Now, you two -- this year, you behave yourselves. If I get one more owl
telling me you've -- you've blown up a toilet or --""<br>
""Blown up a toilet? We've never blown up a toilet.""<br>
""Great idea though, thanks, Mom.""",Molly and the Weasley twins
"— Et moi, on voudrait que je fasse aussi bien que les autres, mais même si j'y arrive, personne ne s'en apercevra, parce que je serai le sixième à le faire et on trouvera ça normal. Quand on a cinq frères, on n'a jamais rien de neuf. J'ai les vieilles robes de sorcier de Bill, la vieille baguette magique de Charlie et le vieux rat de Percy.",Ron à Harry,1,6,0,Ron Weasley,"Ron Weasley, Harry Potter, Fred Weasley, George Weasley, Percy Weasley, Bill Weasley, Peter Pettigrow","""Everyone expects me to do as well as the others, but if I do, it's no big deal, because they did it first. You never get anything new, either, with five brothers. I've got Bill's old robes, Charlie's old wand, and Percy's old rat.""",Ron to Harry
"— Il s'appelle Croûtard et il ne sert à rien. Il dort tout le temps. Mon père a offert un hibou à Percy quand il a été nommé préfet, mais il n'avait pas les moyens de... Enfin, je veux dire, c'est moi qui ai hérité de Croûtard.<br>
Les oreilles de Ron devinrent écarlates, comme s'il avait eu le sentiment d'en avoir trop dit et il détourna la tête.<br>
Harry ne voyait pas pourquoi il aurait fallu se sentir honteux de n'avoir pas les moyens d'acheter un hibou. Lui-même n'avait jamais eu d'argent jusqu'au mois dernier et il raconta à Ron qu'il devait se contenter de porter les vieux vêtements de Dudley.",,1,6,0,Ron Weasley,"Ron Weasley, Peter Pettigrow, Arthur Weasley, Percy Weasley, Harry Potter, Dudley Dursley","""His name's Scabbers and he's useless, he hardly ever wakes up. Percy got an owl from my dad for being made a prefect, but they couldn't aff -- I mean, I got Scabbers instead.""<br>Ron's ears went pink. He seemed to think he'd said too much, because he went back to staring out of the window.<br>Harry didn't think there was anything wrong with not being able to afford an owl. After all, he'd never had any money in his life until a month ago, and he told Ron so, all about having to wear Dudley's old clothes and never getting proper birthday presents. This seemed to cheer Ron up.",
"— Tu sais, chez les Moldus, les gens restent immobiles sur leurs photos, expliqua-t-il. [Harry]<br>
— Ah bon ? Ils ne vont jamais faire un tour ? demanda Ron, étonné. Ça, c'est vraiment bizarre.",,1,6,0,"Harry Potter, Ron Weasley","Harry Potter, Ron Weasley","""Help yourself,"" said Harry. ""But in, you know, the Muggle world, people
just stay put in photos.""<br>
""Do they? What, they don't move at all?"" Ron sounded amazed. ""weird!""",
"—Tu étais en train de faire de la magie ? demanda-t-elle. On va voir si ça va marcher.<br>
Elle s'assit sur la banquette. Ron sembla pris au dépourvu. Il s'éclaircit la gorge.<br>
— Bon, dit-il, allons y:<br><i>
Soleil, jonquille et canari,<br>
Que ce gros gras rat gris<br>
En jaune soit colorié<br>
De la tête jusqu'aux pieds.</i><br>
Il agita sa baguette, mais rien ne se produisit. Croûtard était toujours aussi gris et n'avait même pas ouvert un oeil.<br>
— C'est ça que tu appelles jeter un sort ? dit la fille. Pas très brillant, comme résultat. Moi, j'ai essayé de jeter des sorts pour m'entraîner et à chaque fois, ça a marché. Personne n'est sorcier dans ma famille, j'ai eu la surprise de ma vie en recevant ma lettre, mais j'étais tellement contente ! On m'a dit que c'était la meilleure école de sorcellerie. J'ai déjà appris par coeur tous les livres qui sont au programme, j'espère que ce sera suffisant pour débuter. Ah, au fait, je m'appelle Hermione Granger, et vous ?<br>
Elle avait dit tout cela très rapidement, sans reprendre souffle. Harry jeta un coup oeil à Ron et fut soulagé. Son expression stupéfaite montrait que lui non plus n'avait pas appris par coeur tous les livres du programme.",,1,6,0,"Ron Weasley, Hermione Granger","Ron Weasley, Hermione Granger, Harry Potter, Peter Pettigrow","""Oh, are you doing magic? Let's see it, then.""<br>
She sat down. Ron looked taken aback.<br>
""Er -- all right.""<br>
He cleared his throat.<br>
""Sunshine, daisies, butter mellow, Turn this stupid, fat rat yellow.""<br>
He waved his wand, but nothing happened. Scabbers stayed gray and fast
asleep.<br>
""Are you sure that's a real spell?"" said the girl. ""Well, it's not very
good, is it? I've tried a few simple spells just for practice and it's
all worked for me. Nobody in my family's magic at all, it was ever such
a surprise when I got my letter, but I was ever so pleased, of course, I
mean, it's the very best school of witchcraft there is, I've heard --
I've learned all our course books by heart, of course, I just hope it
will be enough -- I'm Hermione Granger, by the way, who are you.""<br>
She said all this very fast.<br>
Harry looked at Ron, and was relieved to see by his stunned face that he
hadn't learned all the course books by heart either.",
"— Lui, c'est Crabbe et l'autre, c'est Goyle, dit le garçon d'un air détaché. Moi, je m'appelle Malefoy, Drago Malefoy.<br>
Ron eut une toux discrète qui ressemblait à un ricanement. Drago Malefoy tourna les yeux vers lui.<br>
— Mon nom te fait rire ? Inutile de te demander le tien. Mon père m'a dit que tous les Weasley ont les cheveux roux, des taches de rousseur et beaucoup trop d'enfants pour pouvoir les nourrir.",,1,6,0,Drago Malefoy,"Drago Malefoy, Ron Weasley, Vincent Crabbe, Gregory Goyle, Lucius Malefoy","""Oh, this is Crabbe and this is Goyle,"" said the pale boy carelessly, noticing where Harry was looking. ""And my name's Malfoy, Draco Malfoy.""<br>Ron gave a slight cough, which might have been hiding a snigget. Draco Malfoy looked at him.<br>""Think my name's funny, do you? No need to ask who you are. My father told me all the Weasleys have red hair, freckles, and more children than they can afford.""",
"— Fais bien attention à qui tu fréquentes, Potter. Si tu veux éviter les gens douteux, je peux te donner des conseils.<br>
Malefoy lui tendit la main, mais Harry refusa de la serrer.<br>
— Je n'ai besoin de personne pour savoir qui sont les gens douteux, dit-il avec froideur.<br>
Les joues pâles du garçon rosirent légèrement,<vr>
— Si j'étais toi, je serais un peu plus prudent, Potter, dit-il lentement. Si tu n'es pas plus poli, tu vas finir comme tes parents. Eux aussi ont manqué de prudence. Si tu trames avec de la racaille comme les Weasley ou ce Hagrid, ils finiront par déteindre sur toi.",,1,6,0,"Drago Malefoy, Harry Potter","Drago Malefoy, Harry Potter, Ron Weasley, Rubeus Hagrid, James Potter, Lily Potter","""You'll soon find out some wizarding families are much better than others, Potter. You don't want to go making friends with the wrong sort. I can help you there.""<br>He held out his hand to shake Harry's, but Harry didn't take it.<br>""I think I can tell who the wrong sort are for myself, thanks,"" he said coolly.<br>Draco Malfoy didn't go red, but a pink tinge appeared in his pale cheeks.<br>""I'd be careful if I were you, Potter,"" he said slowly. ""Unless you're a bit politer you'll go the same way as your parents. They didn't know what was good for them, either. You hang around with riffraff like the Weasleys and that Hagrid, and it'll rub off on you.""",
"Harry regarda à nouveau ce qui se passait devant lui lorsque le professeur McGonagall installa un tabouret à quatre pieds devant les nouveaux élèves. Sur le tabouret, elle posa un chapeau pointu de sorcier. Le chapeau était râpé, sale, rapiécé. La tante Pétunia n'en aurait jamais voulu chez elle.
<br>Peut-être allait-on leur demander d'en faire sortir un lapin ? pensa Harry.",,1,7,0,Narrateur,"Harry Potter, Minerva McGonagall, Pétunia Dursley, Le Choixpeau Magique","Harry quickly looked down again as Professor McGonagall silently placed a four-legged stool in front of the first years. On top of the stool she put a pointed wizard's hat. This hat was patched and frayed and extremely dirty. Aunt Petunia wouldn't have let it in the house.<br>Maybe they had to try and get a rabbit out of it, Harry thought wildly,
that seemed the sort of thing.",
"Tout le monde, à présent, avait les yeux fixés sur le chapeau pointu. Pendant quelques instants, il régna un silence total. Puis, tout à coup. le chapeau remua. Une déchirure, tout près du bord, s'ouvrit en grand, comme une bouche, et le chapeau se mit à chanter:<br><br>
<i>Je n'suis pas d'une beauté suprême<br>
Mais faut pas s'fier à ce qu'on voit<br>
Je veux bien me manger moi-même<br>
Si vous trouvez plus malin qu'moi<br>
Les hauts-d'forme, les chapeaux splendides<br>
Font pâl'figure auprès de moi<br>
Car à Poudlard, quand je décide,<br>
Chacun se soumet à mon choix.<br>
Rien ne m'échapp'rien ne m'arrête<br>
Le Choixpeau a toujours raison<br>
Mettez-moi donc sur votre tête<br>
Pour connaître votre maison.<br>
Si vous allez à Gryffondor<br>
Vous rejoindrez les courageux,<br>
Les plus hardis et les plus forts<br>
Sont rassemblés en ce haut lieu.<br>
Si à Poufsouffle vous allez,<br>
Comme eux vous s'rez juste et loyal<br>
Ceux de Poufsouffle aiment travailler<br>
Et leur patience est proverbiale.<br>
Si vous êtes sage et réfléchi<br>
Serdaigle vous accueillera peut-être<br>
Là-bas, ce sont des érudits<br>
Qui ont envie de tout connaître.<br>
Vous finirez à Serpentard<br>
Si vous êtes plutôt malin,<br>
Car ceux-là sont de vrais roublards<br>
Qui parviennent toujours à leurs fins.<br>
Sur ta tête pose-moi un instant
<br>Et n'aie pas peur, reste serein<br>
Tu seras en de bonnes mains<br>
Car je suis un chapeau pensant !</i><br><br>
Lorsqu'il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle. Le chapeau s'inclina pour saluer les quatre tables, puis il s'immobilisa à nouveau.",,1,7,0,Le Choixpeau Magique,Le Choixpeau Magique,"Everyone in the hall was now staring at the hat, he stared at it, too. For a few seconds, there was complete silence. Then the hat twitched. A rip near the brim opened wide like a mouth -- and the hat began to sing:<br><br><i>But don't judge on what you see,<br>I'll eat myself if you can find<br>A smarter hat than me.<br>You can keep your bowlers black,<br>Your top hats sleek and tall,<br>For I'm the Hogwarts Sorting Hat<br>And I can cap them all.<br>There's nothing hidden in your head<br>The Sorting Hat can't see,<br>So try me on and I will tell you<br>Where you ought to be.<br>You might belong in Gryffindor,<br>Where dwell the brave at heart,<br>Their daring, nerve, and chivalry Set Gryffindors apart;<br>You might belong in Hufflepuff,<br>Where they are just and loyal,<br>Those patient Hufflepuffis are true And unafraid of toil;<br>Or yet in wise old Ravenclaw,<br>if you've a ready mind,<br>Where those of wit and learning,<br>Will always find their kind;<br>Or perhaps in Slytherin<br>You'll make your real friends,<br>Those cunning folk use any means<br>To achieve their ends.<br>So put me on! Don't be afraid!<br>And don't get in a flap!<br>You're in safe hands (though I have none)<br>For I'm a Thinking Cap!""</i><br><br>The whole hall burst into applause as the hat finished its song. It bowed to each of the four tables and then became quite still again.",
"—Alors, il suffit de porter le chapeau ! murmura Ron à l'oreille de Harry. Fred m'avait parlé d'un combat avec un troll... J'ai bien envie d'aller lui casser la figure !",,1,7,0,Ron Weasley,"Ron Weasley, Harry Potter, Fred Weasley, Le Choixpeau Magique","""So we've just got to try on the hat!"" Ron whispered to Harry. ""I'll kill Fred, he was going on about wrestling a troll.""",
"— Granger, Hermione !<br>
Hermione courut presque jusqu'au tabouret et enfonça frénétiquement le chapeau sur sa tête.<br>
— GRYFFONDOR ! cria le chapeau.<br>
Ron émit un grognement.",,1,7,0,Le Choixpeau Magique,"Le Choixpeau Magique, Hermione Granger, Ron Weasley","""Granger, Hermione!""<br>Hermione almost ran to the stool and jammed the hat eagerly on her head.<br>""GRYFFINDOR!"" shouted the hat. Ron groaned.",
Harry eut soudain une de ces horribles pensées qui accompagnent généralement les états de panique. Et s'il n'était pas choisi du tout ? S'il restait là avec le Choixpeau sur la tête sans que rien ne se passe et que le professeur McGonagall finisse par lui annoncer qu'il y avait une erreur et qu'il devait rentrer chez lui par le prochain train ?,,1,7,0,Narrateur,"Harry Potter, Le Choixpeau Magique, Minerva McGonagall","A horrible thought struck Harry, as horrible thoughts always do when you're very nervous. What if he wasn't chosen at all? What if he just sat there with the hat over his eyes for ages, until Professor McGonagall jerked it off his head and said there had obviously been a mistake and he'd better get back on the train?",
"Lorsque Neville Londubat, le garçon qui ne cessait de perdre son crapaud, fut appelé, il trébucha et tomba en s'approchant du tabouret. Le Choixpeau mit longtemps à se décider. Enfin, il cria: « GRYFFONDOR. » Neville se précipita aussitôt vers ses camarades sans enlever le chapeau de sa tête et dut revenir le donner à MacDougal, Morag, sous les éclats de rire.",,1,7,0,Narrateur,"Neville Londubat, Le Choixpeau Magique, Morag MacDougal","When Neville Longbottom, the boy who kept losing his toad, was called, he fell over on his way to the stool. The hat took a long time to decide with Neville. When it finally shouted, ""GRYFFINDOR,"" Neville ran off still wearing it, and had to jog back amid gales of laughter to give it to ""MacDougal, Morag.""",
"Lorsque son nom fut appelé, Malefoy s'avança d'un pas conquérant vers le tabouret. Dès qu'il lui eut frôlé la tête, le chapeau s'écria:<br>
— SERPENTARD !<br>
La mine satisfaite, Malefoy alla rejoindre ses amis Crabbe et Goyle qui avaient été envoyés à Serpentard, eux aussi. Harry ne savait pas si c'était un effet de son imagination, mais en tout cas, il trouva que les élèves de Serpentard n'avait pas l'air très sympathique.",,1,7,0,Le Choixpeau Magique,"Le Choixpeau Magique, Drago Malefoy, Vincent Crabbe, Gregory Goyle, Harry Potter","Malfoy swaggered forward when his name was called and got his wish at once: the hat had barely touched his head when it screamed, ""SLYTHERIN!""<br>Malfoy went to join his friends Crabbe and Goyle, looking pleased with himself.",
